[29-Mar-2019 09:03:59 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
[29-Mar-2019 09:03:59 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
[29-Mar-2019 09:05:35 UTC] PHP Warning:  Illegal string offset 'host' in C:\Users\admin\whs-pdo\src\includes\Assertion.php on line 13
[29-Mar-2019 09:05:35 UTC] PHP Warning:  Illegal string offset 'dbname' in C:\Users\admin\whs-pdo\src\includes\Assertion.php on line 13
[29-Mar-2019 09:05:35 UTC] PHP Warning:  Illegal string offset 'user' in C:\Users\admin\whs-pdo\src\includes\Assertion.php on line 13
[29-Mar-2019 09:05:35 UTC] PHP Warning:  Illegal string offset 'password' in C:\Users\admin\whs-pdo\src\includes\Assertion.php on line 13
[29-Mar-2019 09:06:13 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
[29-Mar-2019 09:08:33 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
[29-Mar-2019 09:08:33 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
[29-Mar-2019 09:08:33 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
[29-Mar-2019 09:08:33 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
[29-Mar-2019 09:08:33 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
[29-Mar-2019 09:08:34 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
[29-Mar-2019 09:08:34 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
